date;Average Hourly Earnings of Production and Nonsupervisory Employees, Total Private;Average Hourly Earnings of Production and Nonsupervisory Employees, Goods-Producing;Average Hourly Earnings of Production and Nonsupervisory Employees, Private Service-Providing;Average Weekly Hours of All Employees, Total Private;Average Weekly Hours of All Employees, Goods-Producing;Average Weekly Hours of All Employees, Private Service-Providing;All Employees, Total Nonfarm;All Employees, Total Private;All Employees, Goods-Producing;All Employees, Private Service-Providing;All Employees, Government
2007-02-01;17,15;18,39;16,83;34,3;39,1;33,1;137556;115425;22334;93091;22131
2007-03-01;17,22;18,47;16,89;34,4;39,4;33,2;137782;115633;22391;93242;22149
2007-04-01;17,27;18,57;16,93;34,4;39,4;33,1;137842;115667;22349;93318;22175
2007-05-01;17,34;18,64;17,0;34,4;39,5;33,2;137993;115800;22323;93477;22193
2007-06-01;17,42;18,69;17,08;34,5;39,5;33,3;138072;115865;22324;93541;22207
2007-07-01;17,46;18,7;17,14;34,4;39,5;33,2;138042;115871;22277;93594;22171
2007-08-01;17,5;18,74;17,18;34,4;39,4;33,2;138017;115791;22165;93626;22226
2007-09-01;17,55;18,78;17,24;34,4;39,5;33,2;138103;115824;22094;93730;22279
2007-10-01;17,58;18,79;17,27;34,3;39,4;33,2;138175;115878;22056;93822;22297
2007-11-01;17,63;18,87;17,31;34,4;39,6;33,2;138291;115957;22015;93942;22334
2007-12-01;17,69;18,93;17,37;34,4;39,6;33,2;138396;116020;21976;94044;22376
2008-01-01;17,73;18,99;17,41;34,4;39,5;33,2;138397;116009;21948;94061;22388
2008-02-01;17,8;19,06;17,48;34,3;39,5;33,2;138326;115909;21897;94012;22417
2008-03-01;17,88;19,14;17,56;34,4;39,7;33,2;138256;115813;21819;93994;22443
2008-04-01;17,91;19,14;17,6;34,4;39,5;33,2;138037;115587;21680;93907;22450
2008-05-01;17,98;19,21;17,67;34,4;39,4;33,2;137847;115364;21600;93764;22483
2008-06-01;18,04;19,29;17,72;34,4;39,5;33,2;137689;115172;21483;93689;22517
2008-07-01;18,1;19,36;17,78;34,3;39,3;33,1;137492;114924;21360;93564;22568
2008-08-01;18,18;19,45;17,86;34,3;39,3;33,2;137209;114642;21250;93392;22567
2008-09-01;18,2;19,5;17,88;34,2;39,0;33,1;136759;114222;21102;93120;22537
2008-10-01;18,25;19,55;17,93;34,3;39,1;33,2;136294;113745;20895;92850;22549
2008-11-01;18,31;19,64;17,99;34,1;38,8;33,0;135546;112986;20624;92362;22560
2008-12-01;18,38;19,72;18,07;33,9;38,6;32,9;134848;112292;20321;91971;22556
2009-01-01;18,39;19,71;18,09;34,0;38,5;33,0;134066;111487;19889;91598;22579
2009-02-01;18,44;19,76;18,14;34,0;38,6;33,1;133314;110738;19575;91163;22576
2009-03-01;18,5;19,84;18,2;33,8;38,2;32,8;132494;109934;19227;90707;22560
2009-04-01;18,52;19,83;18,23;33,8;38,3;32,8;131825;109148;18894;90254;22677
2009-05-01;18,53;19,85;18,25;33,8;38,3;32,9;131470;108853;18655;90198;22617
2009-06-01;18,56;19,87;18,28;33,7;38,4;32,8;131003;108427;18422;90005;22576
2009-07-01;18,59;19,95;18,31;33,8;38,6;32,8;130661;108140;18278;89862;22521
2009-08-01;18,67;19,93;18,4;33,8;38,7;32,8;130480;107943;18150;89793;22537
2009-09-01;18,7;19,92;18,44;33,9;38,8;32,9;130241;107790;18043;89747;22451
2009-10-01;18,74;20,02;18,47;33,8;38,5;32,8;130061;107537;17914;89623;22524
2009-11-01;18,8;20,05;18,53;33,9;39,0;32,9;130059;107526;17869;89657;22533
2009-12-01;18,84;20,05;18,59;33,9;38,9;32,9;129807;107325;17792;89533;22482
2010-01-01;18,88;20,09;18,63;34,0;39,3;33,0;129795;107304;17709;89595;22491
2010-02-01;18,91;20,12;18,66;33,8;38,8;32,9;129702;107226;17628;89598;22476
2010-03-01;18,91;20,14;18,66;34,0;39,3;33,0;129865;107347;17672;89675;22518
2010-04-01;18,96;20,18;18,7;34,1;39,7;33,0;130115;107546;17729;89817;22569
2010-05-01;19,01;20,2;18,76;34,1;39,7;33,0;130645;107649;17741;89908;22996
2010-06-01;19,03;20,23;18,78;34,1;39,5;33,0;130501;107761;17762;89999;22740
2010-07-01;19,04;20,28;18,78;34,2;39,6;33,1;130420;107851;17777;90074;22569
2010-08-01;19,11;20,32;18,85;34,2;39,7;33,1;130423;108003;17793;90210;22420
2010-09-01;19,11;20,35;18,85;34,3;40,1;33,2;130340;108093;17787;90306;22247
2010-10-01;19,2;20,42;18,95;34,3;39,9;33,2;130620;108323;17801;90522;22297
2010-11-01;19,21;20,47;18,95;34,3;39,9;33,1;130754;108467;17828;90639;22287
2010-12-01;19,22;20,48;18,96;34,3;39,8;33,2;130836;108570;17796;90774;22266
2011-01-01;19,33;20,55;19,07;34,2;39,6;33,2;130839;108581;17785;90796;22258
2011-02-01;19,31;20,58;19,04;34,3;39,8;33,2;131054;108839;17844;90995;22215
2011-03-01;19,31;20,56;19,04;34,3;39,8;33,2;131278;109086;17906;91180;22192
2011-04-01;19,36;20,6;19,1;34,4;39,9;33,3;131604;109420;17957;91463;22184
2011-05-01;19,41;20,62;19,15;34,4;40,1;33,2;131704;109575;18007;91568;22129
2011-06-01;19,41;20,63;19,16;34,4;40,0;33,3;131936;109772;18044;91728;22164
2011-07-01;19,47;20,67;19,22;34,4;40,0;33,3;131992;109943;18094;91849;22049
2011-08-01;19,47;20,71;19,2;34,3;39,9;33,2;132123;110106;18120;91986;22017
2011-09-01;19,49;20,72;19,22;34,4;40,0;33,3;132346;110363;18167;92196;21983
2011-10-01;19,56;20,76;19,3;34,5;40,1;33,3;132557;110559;18187;92372;21998
2011-11-01;19,56;20,75;19,31;34,4;40,0;33,3;132701;110730;18188;92542;21971
2011-12-01;19,57;20,79;19,31;34,4;40,1;33,3;132902;110948;18244;92704;21954
2012-01-01;19,59;20,78;19,33;34,5;40,3;33,4;133243;111297;18304;92993;21946
2012-02-01;19,59;20,83;19,32;34,5;40,3;33,3;133521;111574;18335;93239;21947
2012-03-01;19,64;20,88;19,37;34,5;40,2;33,3;133745;111802;18372;93430;21943
2012-04-01;19,68;20,93;19,41;34,4;40,3;33,3;133828;111897;18384;93513;21931
2012-05-01;19,67;20,87;19,42;34,4;40,1;33,2;133935;112024;18386;93638;21911
2012-06-01;19,71;20,91;19,46;34,4;40,2;33,3;134008;112078;18411;93667;21930
2012-07-01;19,74;20,96;19,48;34,4;40,2;33,2;134153;112240;18447;93793;21913
