date;Industrial Production: Total Index;Industrial Production: Manufacturing;Industrial Production: Mining: Mining;Industrial Production: Utilities: Electric and Gas Utilities;Capacity Utilization: Total Index;Capacity Utilization: Manufacturing;Capacity Utilization: Mining;Capacity Utilization: Utilities: Electric and Gas Utilities
1987-02-01;56,7438;56,7044;82,8927;63,0964;79,8385;79,9013;77,294;81,5755
1987-03-01;56,8235;56,7438;82,5499;63,7684;79,8055;79,7496;77,3511;82,3442
1987-04-01;57,1954;57,0858;83,1498;64,3867;80,1758;80,0149;78,2893;83,0448
1987-05-01;57,5498;57,4784;82,9306;64,8546;80,5155;80,3463;78,4336;83,5508
1987-06-01;57,8603;57,7217;83,7073;65,5881;80,7902;80,4692;79,4839;84,3968
1987-07-01;58,2501;58,1636;84,0018;65,7052;81,1772;80,8772;80,0265;84,4485
1987-08-01;58,6889;58,4796;85,844;66,5761;81,6378;81,1234;81,9939;85,4656
1987-09-01;58,9137;58,8877;86,1932;65,1661;81,8095;81,514;82,4936;83,5512
1987-10-01;59,7083;59,7357;86,9284;65,8094;82,7829;82,5309;83,3267;84,2648
1987-11-01;60,0022;60,0585;87,4277;65,8383;83,0749;82,8422;83,9063;84,1838
1987-12-01;60,3336;60,4501;87,6095;65,8409;83,4335;83,2696;84,1603;84,0617
1988-01-01;60,3186;60,3095;86,3645;67,642;83,3283;82,9869;83,0195;86,2246
1988-02-01;60,6209;60,5027;86,6599;69,0469;83,6774;83,1847;83,3618;87,8656
1988-03-01;60,7591;60,6596;87,3312;68,7859;83,8133;83,3503;84,0685;87,3744
1988-04-01;61,1144;61,1977;86,9475;68,034;84,2599;84,0543;83,7647;86,2536
1988-05-01;60,9952;61,0371;87,67;67,8066;84,0591;83,8069;84,5426;85,7907
1988-06-01;61,1697;61,1592;87,4914;68,7106;84,2661;83,9505;84,4749;86,748
1988-07-01;61,1749;61,1089;87,2139;69,3741;84,2395;83,8557;84,3381;87,3896
1988-08-01;61,4851;61,2054;87,3948;71,7927;84,6276;83,9544;84,6709;90,2258
1988-09-01;61,2844;61,3934;86,2926;68,4992;84,304;84,1663;83,7812;85,8797
1988-10-01;61,5595;61,6651;86,4512;68,9672;84,623;84,4775;84,1288;86,2522
1988-11-01;61,7128;61,8894;86,4555;68,6157;84,7603;84,7056;84,3359;85,5948
1988-12-01;61,9983;62,1929;86,4036;69,0255;85,0642;85,0237;84,4921;85,884
